cell_key,template_sheet,cellreference
24-25 TDEL Forecast Non Gov costs,9 - Costs,H40
24-25 TDEL Forecast Total,9 - Costs,I40
24-25 TDEL Forecast Income,9 - Costs,L40
25-26 TDEL BL one off new costs,9 - Costs,E41
25-26 TDEL BL recurring new costs,9 - Costs,F41
25-26 TDEL BL recurring old costs,9 - Costs,G41
25-26 TDEL BL Non Gov costs,9 - Costs,H41
25-26 TDEL BL Total,9 - Costs,I41
25-26 TDEL BL Income,9 - Costs,L41
25-26 TDEL Forecast one off new costs,9 - Costs,E42
25-26 TDEL Forecast recurring new costs,9 - Costs,F42
25-26 TDEL Forecast recurring old costs,9 - Costs,G42
25-26 TDEL Forecast Non Gov costs,9 - Costs,H42
25-26 TDEL Forecast Total,9 - Costs,I42
25-26 TDEL Forecast Income,9 - Costs,L42
26-27 TDEL BL one off new costs,9 - Costs,E43
26-27 TDEL BL recurring new costs,9 - Costs,F43
26-27 TDEL BL recurring old costs,9 - Costs,G43
26-27 TDEL BL Non Gov costs,9 - Costs,H43
26-27 TDEL BL Total,9 - Costs,I43
26-27 TDEL BL Income,9 - Costs,L43
26-27 TDEL Forecast one off new costs,9 - Costs,E44
26-27 TDEL Forecast recurring new costs,9 - Costs,F44
26-27 TDEL Forecast recurring old costs,9 - Costs,G44
26-27 TDEL Forecast Non Gov costs,9 - Costs,H44
26-27 TDEL Forecast Total,9 - Costs,I44
26-27 TDEL Forecast Income,9 - Costs,L44
27-28 TDEL BL one off new costs,9 - Costs,E45
27-28 TDEL BL recurring new costs,9 - Costs,F45
27-28 TDEL BL recurring old costs,9 - Costs,G45
27-28 TDEL BL Non Gov costs,9 - Costs,H45
27-28 TDEL BL Total,9 - Costs,I45
27-28 TDEL BL Income,9 - Costs,L45
27-28 TDEL Forecast one off new costs,9 - Costs,E46
27-28 TDEL Forecast recurring new costs,9 - Costs,F46
27-28 TDEL Forecast recurring old costs,9 - Costs,G46
27-28 TDEL Forecast Non Gov costs,9 - Costs,H46
27-28 TDEL Forecast Total,9 - Costs,I46
27-28 TDEL Forecast Income,9 - Costs,L46
28-29 TDEL BL one off new costs,9 - Costs,E47
28-29 TDEL BL recurring new costs,9 - Costs,F47
28-29 TDEL BL recurring old costs,9 - Costs,G47
28-29 TDEL BL Non Gov costs,9 - Costs,H47
28-29 TDEL BL Total,9 - Costs,I47
28-29 TDEL BL Income,9 - Costs,L47
28-29 TDEL Forecast one off new costs,9 - Costs,E48
28-29 TDEL Forecast recurring new costs,9 - Costs,F48
28-29 TDEL Forecast recurring old costs,9 - Costs,G48
28-29 TDEL Forecast Non Gov costs,9 - Costs,H48
28-29 TDEL Forecast Total,9 - Costs,I48
28-29 TDEL Forecast Income,9 - Costs,L48
Unprofiled TDEL BL one off new costs,9 - Costs,E49
Unprofiled TDEL BL recurring new costs,9 - Costs,F49
Unprofiled TDEL BL recurring old costs,9 - Costs,G49
Unprofiled TDEL BL Non Gov costs,9 - Costs,H49
Unprofiled TDEL BL Total,9 - Costs,I49
Unprofiled TDEL BL Income,9 - Costs,L49
Unprofiled TDEL Forecast one off new costs,9 - Costs,E50
Unprofiled TDEL Forecast recurring new costs,9 - Costs,F50
Unprofiled TDEL Forecast recurring old costs,9 - Costs,G50
Unprofiled TDEL Forecast Non Gov costs,9 - Costs,H50
Unprofiled TDEL Forecast Total,9 - Costs,I50
Unprofiled TDEL Forecast Income,9 - Costs,L50
Total TDEL BL one off new costs,9 - Costs,E51
Total TDEL BL recurring new costs,9 - Costs,F51
Total TDEL BL recurring old costs,9 - Costs,G51
Total TDEL BL Non Gov costs,9 - Costs,H51
Total TDEL BL Total,9 - Costs,I51
Total TDEL BL Income,9 - Costs,L51
Total TDEL Forecast one off new costs,9 - Costs,E52
Total TDEL Forecast recurring new costs,9 - Costs,F52
Total TDEL Forecast recurring old costs,9 - Costs,G52
Total TDEL Forecast Non Gov costs,9 - Costs,H52
Total TDEL Forecast Total,9 - Costs,I52
Total TDEL Forecast Income,9 - Costs,L52
Year TDEL spend stops,9 - Costs,E53
Pre 19-20 CDEL BL one off new costs,9 - Costs,E56
Pre 19-20 CDEL BL recurring new costs,9 - Costs,F56
Pre 19-20 CDEL BL recurring old costs,9 - Costs,G56
Pre 19-20 BL Non-Gov,9 - Costs,H56
Pre 19-20 CDEL BL WLC,9 - Costs,I56
Pre 19-20 BL Income both Revenue and Capital,9 - Costs,L56
Pre 19-20 CDEL Forecast Total,9 - Costs,E57
Pre 19-20 CDEL Forecast recurring new costs,9 - Costs,F57
Pre 19-20 CDEL Forecast recurring old costs,9 - Costs,G57
Pre 19-20 Forecast Non-Gov,9 - Costs,H57
Pre 19-20 CDEL Forecast Total WLC,9 - Costs,I57
Pre 19-20 Actual Income both Revenue and Capital,9 - Costs,L57
19-20 CDEL BL one off new costs,9 - Costs,E58
19-20 CDEL BL recurring new costs,9 - Costs,F58
19-20 CDEL BL recurring old costs,9 - Costs,G58
19-20 BL Non-Gov,9 - Costs,H58
19-20 CDEL BL WLC,9 - Costs,I58
19-20 BL Income both Revenue and Capital,9 - Costs,L58
19-20 CDEL Forecast Total,9 - Costs,E59
19-20 CDEL Forecast recurring new costs,9 - Costs,F59
19-20 CDEL Forecast recurring old costs,9 - Costs,G59
19-20 Forecast Non-Gov,9 - Costs,H59
19-20 CDEL Forecast Total WLC,9 - Costs,I59
19-20 Forecast - Income both Revenue and Capital,9 - Costs,L59
20-21 CDEL BL one off new costs,9 - Costs,E60
20-21 CDEL BL recurring new costs,9 - Costs,F60
20-21 CDEL BL recurring old costs,9 - Costs,G60
20-21 BL Non-Gov,9 - Costs,H60
20-21 CDEL BL WLC,9 - Costs,I60
20-21 BL Income both Revenue and Capital,9 - Costs,L60
20-21 CDEL Forecast Total,9 - Costs,E61
20-21 CDEL Forecast recurring new costs,9 - Costs,F61
20-21 CDEL Forecast recurring old costs,9 - Costs,G61
20-21 Forecast Non-Gov,9 - Costs,H61
20-21 CDEL Forecast Total WLC,9 - Costs,I61
20-21 Forecast - Income both Revenue and Capital,9 - Costs,L61
21-22 CDEL BL one off new costs,9 - Costs,E62
21-22 CDEL BL recurring new costs,9 - Costs,F62
21-22 CDEL BL recurring old costs,9 - Costs,G62
21-22 BL Non-Gov,9 - Costs,H62
21-22 CDEL BL WLC,9 - Costs,I62
21-22 BL - Income both Revenue and Capital,9 - Costs,L62
21-22 CDEL Forecast Total,9 - Costs,E63
21-22 CDEL Forecast recurring new costs,9 - Costs,F63
21-22 CDEL Forecast recurring old costs,9 - Costs,G63
21-22 Forecast Non-Gov,9 - Costs,H63
21-22 CDEL Forecast Total WLC,9 - Costs,I63
21-22 Forecast - Income both Revenue and Capital,9 - Costs,L63
22-23 CDEL BL one off new costs,9 - Costs,E64
22-23 CDEL BL recurring new costs,9 - Costs,F64
22-23 CDEL BL recurring old costs,9 - Costs,G64
22-23 BL Non-Gov,9 - Costs,H64
22-23 CDEL BL WLC,9 - Costs,I64
22-23 BL Income both Revenue and Capital,9 - Costs,L64
22-23 CDEL Forecast Total,9 - Costs,E65
22-23 CDEL Forecast recurring new costs,9 - Costs,F65
22-23 CDEL Forecast recurring old costs,9 - Costs,G65
22-23 Forecast Non-Gov,9 - Costs,H65
22-23 CDEL Forecast Total WLC,9 - Costs,I65
22-23 Forecast - Income both Revenue and Capital,9 - Costs,L65
23-24 CDEL BL one off new costs,9 - Costs,E66
23-24 CDEL BL recurring new costs,9 - Costs,F66
23-24 CDEL BL recurring old costs,9 - Costs,G66
23-24 BL Non-Gov,9 - Costs,H66
23-24 CDEL BL WLC,9 - Costs,I66
23-24 BL Income both Revenue and Capital,9 - Costs,L66
23-24 CDEL Forecast Total,9 - Costs,E67
23-24 CDEL Forecast recurring new costs,9 - Costs,F67
23-24 CDEL Forecast recurring old costs,9 - Costs,G67
23-24 Forecast Non-Gov,9 - Costs,H67
23-24 CDEL Forecast Total WLC,9 - Costs,I67
23-24 Forecast - Income both Revenue and Capital,9 - Costs,L67
24-25 CDEL BL one off new costs,9 - Costs,E68
24-25 CDEL BL recurring new costs,9 - Costs,F68
24-25 CDEL BL recurring old costs,9 - Costs,G68
24-25 BL Non-Gov,9 - Costs,H68
24-25 CDEL BL WLC,9 - Costs,I68
24-25 BL Income both Revenue and Capital,9 - Costs,L68
24-25 CDEL Forecast Total,9 - Costs,E69
24-25 CDEL Forecast recurring new costs,9 - Costs,F69
24-25 CDEL Forecast recurring old costs,9 - Costs,G69
24-25 Forecast Non-Gov,9 - Costs,H69
24-25 CDEL Forecast Total WLC,9 - Costs,I69
24-25 Forecast - Income both Revenue and Capital,9 - Costs,L69
25-26 CDEL BL one off new costs,9 - Costs,E70
25-26 CDEL BL recurring new costs,9 - Costs,F70
25-26 CDEL BL recurring old costs,9 - Costs,G70
25-26 BL Non-Gov,9 - Costs,H70
25-26 CDEL BL WLC,9 - Costs,I70
25-26 BL Income both Revenue and Capital,9 - Costs,L70
25-26 CDEL Forecast Total,9 - Costs,E71
25-26 CDEL Forecast recurring new costs,9 - Costs,F71
25-26 CDEL Forecast recurring old costs,9 - Costs,G71
25-26 Forecast Non-Gov,9 - Costs,H71
25-26 CDEL Forecast Total WLC,9 - Costs,I71
25-26 Forecast - Income both Revenue and Capital,9 - Costs,L71
26-27 CDEL BL one off new costs,9 - Costs,E72
26-27 CDEL BL recurring new costs,9 - Costs,F72
26-27 CDEL BL recurring old costs,9 - Costs,G72
26-27 BL Non-Gov,9 - Costs,H72
26-27 CDEL BL WLC,9 - Costs,I72
26-27 BL Income both Revenue and Capital,9 - Costs,L72
26-27 CDEL Forecast Total,9 - Costs,E73
26-27 CDEL Forecast recurring new costs,9 - Costs,F73
26-27 CDEL Forecast recurring old costs,9 - Costs,G73
26-27 Forecast Non-Gov,9 - Costs,H73
26-27 CDEL Forecast Total WLC,9 - Costs,I73
26-27 Forecast - Income both Revenue and Capital,9 - Costs,L73
27-28 CDEL BL one off new costs,9 - Costs,E74
27-28 CDEL BL recurring new costs,9 - Costs,F74
27-28 CDEL BL recurring old costs,9 - Costs,G74
27-28 BL Non-Gov,9 - Costs,H74
27-28 CDEL BL WLC,9 - Costs,I74
27-28 BL Income both Revenue and Capital,9 - Costs,L74
27-28 CDEL Forecast Total,9 - Costs,E75
27-28 CDEL Forecast recurring new costs,9 - Costs,F75
27-28 CDEL Forecast recurring old costs,9 - Costs,G75
27-28 Forecast Non-Gov,9 - Costs,H75
27-28 CDEL Forecast Total WLC,9 - Costs,I75
27-28 Forecast - Income both Revenue and Capital,9 - Costs,L75
28-29 CDEL BL one off new costs,9 - Costs,E76
28-29 CDEL BL recurring new costs,9 - Costs,F76
28-29 CDEL BL recurring old costs,9 - Costs,G76
28-29 BL Non-Gov,9 - Costs,H76
28-29 CDEL BL WLC,9 - Costs,I76
28-29 BL Income both Revenue and Capital,9 - Costs,L76
28-29 CDEL Forecast Total,9 - Costs,E77
28-29 CDEL Forecast recurring new costs,9 - Costs,F77
28-29 CDEL Forecast recurring old costs,9 - Costs,G77
28-29 Forecast Non-Gov,9 - Costs,H77
28-29 CDEL Forecast Total WLC,9 - Costs,I77
28-29 Forecast - Income both Revenue and Capital,9 - Costs,L77
Unprofiled CDEL BL one off new costs,9 - Costs,E78
Unprofiled CDEL BL recurring new costs,9 - Costs,F78
Unprofiled CDEL BL recurring old costs,9 - Costs,G78
Unprofiled BL Non-Gov,9 - Costs,H78
Unprofiled CDEL BL WLC,9 - Costs,I78
Unprofiled BL Income,9 - Costs,L78
Unprofiled CDEL Forecast Total,9 - Costs,E79
Unprofiled CDEL Forecast recurring new costs,9 - Costs,F79
Unprofiled CDEL Forecast recurring old costs,9 - Costs,G79
Unprofiled Forecast-Gov,9 - Costs,H79
Unprofiled CDEL Forecast Total WLC,9 - Costs,I79
Unprofiled Forecast Income,9 - Costs,L79
Total CDEL BL one off new costs,9 - Costs,E80
Total CDEL BL recurring new costs,9 - Costs,F80
Total CDEL BL recurring old costs,9 - Costs,G80
Non-Gov Total Budget/BL,9 - Costs,H80
Total CDEL BL WLC,9 - Costs,I80
Total Bobline - Income both Revenue and Capital,9 - Costs,L80
Total CDEL Forecast Total,9 - Costs,E81
Total CDEL Forecast recurring new costs,9 - Costs,F81
Total CDEL Forecast recurring old costs,9 - Costs,G81
Non-Gov Total Forecast,9 - Costs,H81
Total CDEL Forecast Total WLC,9 - Costs,I81
Total Forecast - Income both Revenue and Capital,9 - Costs,L81
Year CDEL spend stops,9 - Costs,E82
SRO Finance confidence,9 - Costs,E118
Benefits Narrative,10 - Benefits,E6
Ben comparison with last quarters cost - narrative ,10 - Benefits,E7
Ben comparison within this quarters cost - narrative ,10 - Benefits,E8
Narrative on any project Non-Monetised benefits,10 - Benefits,E9
"If benefits profile (by years) not provided, please provide reason and date for when they will be",10 - Benefits,E10
Pre 19-20 BEN Bobline - Gov. Cashable,10 - Benefits,E25
Pre 19-20 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F25
Pre 19-20 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G25
Pre 19-20 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H25
Pre 19-20 BEN Bobline - Total Monetised Benefits,10 - Benefits,K25
Pre 19-20 BEN Forecast - Gov. Cashable,10 - Benefits,E26
Pre 19-20 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F26
Pre 19-20 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G26
Pre 19-20 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H26
Pre 19-20 BEN Forecast - Total Monetised Benefits,10 - Benefits,K26
19-20 BEN Bobline - Gov. Cashable,10 - Benefits,E27
19-20 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F27
19-20 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G27
19-20 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H27
19-20 BEN Bobline - Total Monetised Benefits,10 - Benefits,K27
19-20 BEN Forecast - Gov. Cashable,10 - Benefits,E28
19-20 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F28
19-20 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G28
19-20 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H28
19-20 BEN Forecast - Total Monetised Benefits,10 - Benefits,K28
20-21 BEN Bobline - Gov. Cashable,10 - Benefits,E29
20-21 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F29
20-21 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G29
20-21 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H29
20-21 BEN Bobline - Total Monetised Benefits,10 - Benefits,K29
20-21 BEN Forecast - Gov. Cashable,10 - Benefits,E30
20-21 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F30
20-21 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G30
20-21 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H30
20-21 BEN Forecast - Total Monetised Benefits,10 - Benefits,K30
21-22 BEN Bobline - Gov. Cashable,10 - Benefits,E31
21-22 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F31
21-22 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G31
21-22 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H31
21-22 BEN Bobline - Total Monetised Benefits,10 - Benefits,K31
21-22 BEN Forecast - Gov. Cashable,10 - Benefits,E32
21-22 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F32
21-22 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G32
21-22 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H32
21-22 BEN Forecast - Total Monetised Benefits,10 - Benefits,K32
22-23 BEN Bobline - Gov. Cashable,10 - Benefits,E33
22-23 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F33
22-23 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G33
22-23 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H33
22-23 BEN Bobline - Total Monetised Benefits,10 - Benefits,K33
22-23 BEN Forecast - Gov. Cashable,10 - Benefits,E34
22-23 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F34
22-23 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G34
22-23 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H34
22-23 BEN Forecast - Total Monetised Benefits,10 - Benefits,K34
23-24 BEN Bobline - Gov. Cashable,10 - Benefits,E35
23-24 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F35
23-24 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G35
23-24 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H35
23-24 BEN Bobline - Total Monetised Benefits,10 - Benefits,K35
23-24 BEN Forecast - Gov. Cashable,10 - Benefits,E36
23-24 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F36
23-24 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G36
23-24 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H36
23-24 BEN Forecast - Total Monetised Benefits,10 - Benefits,K36
24-25 BEN Bobline - Gov. Cashable,10 - Benefits,E37
24-25 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F37
24-25 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G37
24-25 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H37
24-25 BEN Bobline - Total Monetised Benefits,10 - Benefits,K37
24-25 BEN Forecast - Gov. Cashable,10 - Benefits,E38
24-25 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F38
24-25 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G38
24-25 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H38
24-25 BEN Forecast - Total Monetised Benefits,10 - Benefits,K38
25-26 BEN Bobline - Gov. Cashable,10 - Benefits,E39
25-26 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F39
25-26 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G39
25-26 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H39
25-26 BEN Bobline - Total Monetised Benefits,10 - Benefits,K39
25-26 BEN Forecast - Gov. Cashable,10 - Benefits,E40
25-26 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F40
25-26 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G40
25-26 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H40
25-26 BEN Forecast - Total Monetised Benefits,10 - Benefits,K40
26-27 BEN Bobline - Gov. Cashable,10 - Benefits,E41
26-27 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F41
26-27 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G41
26-27 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H41
26-27 BEN Bobline - Total Monetised Benefits,10 - Benefits,K41
26-27 BEN Forecast - Gov. Cashable,10 - Benefits,E42
26-27 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F42
26-27 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G42
26-27 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H42
26-27 BEN Forecast - Total Monetised Benefits,10 - Benefits,K42
27-28 BEN Bobline - Gov. Cashable,10 - Benefits,E43
27-28 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F43
27-28 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G43
27-28 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H43
27-28 BEN Bobline - Total Monetised Benefits,10 - Benefits,K43
27-28 BEN Forecast - Gov. Cashable,10 - Benefits,E44
27-28 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F44
27-28 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G44
27-28 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H44
27-28 BEN Forecast - Total Monetised Benefits,10 - Benefits,K44
28-29 BEN Bobline - Gov. Cashable,10 - Benefits,E45
28-29 BEN Bobline - Gov. Non-Cashable,10 - Benefits,F45
28-29 BEN Bobline - Economic (inc Private Partner),10 - Benefits,G45
28-29 BEN Bobline - Disbenefit UK Economic,10 - Benefits,H45
28-29 BEN Bobline - Total Monetised Benefits,10 - Benefits,K45
28-29 BEN Forecast - Gov. Cashable,10 - Benefits,E46
28-29 BEN Forecast - Gov. Non-Cashable,10 - Benefits,F46
28-29 BEN Forecast - Economic (inc Private Partner),10 - Benefits,G46
28-29 BEN Forecast - Disbenefit UK Economic,10 - Benefits,H46
28-29 BEN Forecast - Total Monetised Benefits,10 - Benefits,K46
Unprofiled Remainder BEN Bobline - Gov. Cashable,10 - Benefits,E47
Unprofiled Remainder BEN Bobline - Gov. Non-Cashable,10 - Benefits,F47
Unprofiled Remainder BEN Bobline - Economic (inc Private Partner),10 - Benefits,G47
Unprofiled Remainder BEN Bobline - Disbenefit UK Economic,10 - Benefits,H47
Unprofiled Remainder BEN Bobline - Total Monetised Benefits,10 - Benefits,K47
Unprofiled Remainder BEN Forecast - Gov. Cashable,10 - Benefits,E48
Unprofiled Remainder BEN Forecast - Gov. Non-Cashable,10 - Benefits,F48
Unprofiled Remainder BEN Forecast - Economic (inc Private Partner),10 - Benefits,G48
Unprofiled Remainder BEN Forecast - Disbenefit UK Economic,10 - Benefits,H48
Unprofiled Remainder BEN Forecast - Total Monetised Benefits,10 - Benefits,K48
Total BEN Bobline - Gov. Cashable,10 - Benefits,E49
Total BEN Bobline - Gov. Non-Cashable,10 - Benefits,F49
Total BEN Bobline - Economic (inc Private Partner),10 - Benefits,G49
Total BEN Bobline - Disbenefit UK Economic,10 - Benefits,H49
Total BEN Bobline - Total Monetised Benefits,10 - Benefits,K49
Total BEN Forecast - Gov. Cashable,10 - Benefits,E50
Total BEN Forecast - Gov. Non-Cashable,10 - Benefits,F50
Total BEN Forecast - Economic (inc Private Partner),10 - Benefits,G50
Total BEN Forecast - Disbenefit UK Economic,10 - Benefits,H50
Total BEN Forecast - Total Monetised Benefits,10 - Benefits,K50
Year BEN spend stops,10 - Benefits,E51
No Deductions - Net Benefits Provided,10 - Benefits,K54
Deduct TDEL One Off New Costs?,10 - Benefits,K55
Deduct CDEL one off New Costs?,10 - Benefits,K56
Deduct TDEL Recurring New Costs?,10 - Benefits,K57
Deduct CDEL Recurring New Costs?,10 - Benefits,K58
Deduct TDEL Recurring Old Costs?,10 - Benefits,K59
Deduct CDEL Recurring Old Costs?,10 - Benefits,K60
No Monetised Benefits / Initial Business Case Being Prepared,10 - Benefits,K61
SRO Benefits RAG,10 - Benefits,E64
